Precinct,1ST CHOICE COUNCIL MEMBER WARD FIVE WARD 5,2ND CHOICE COUNCIL MEMBER WARD FIVE WARD 5,3RD CHOICE COUNCIL MEMBER WARD FIVE WARD 5,COUNT,1ST CHOICE COUNCIL MEMBER WARD FIVE WARD 5_Race,2ND CHOICE COUNCIL MEMBER WARD FIVE WARD 5_Race,3RD CHOICE COUNCIL MEMBER WARD FIVE WARD 5_Race
MINNEAPOLIS W-5 P-08,BLONG YANG,KALE R. SEVERSON,IAN ALEXANDER,1,asian,white,black
MINNEAPOLIS W-5 P-01,BLONG YANG,BRETT BUCKNER,KALE R. SEVERSON,1,asian,black,white
MINNEAPOLIS W-5 P-05,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-04,BLONG YANG,BRETT BUCKNER,KALE R. SEVERSON,1,asian,black,white
MINNEAPOLIS W-5 P-6C,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-07,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-04,BLONG YANG,IAN ALEXANDER,,1,asian,black,
MINNEAPOLIS W-5 P-03,IAN ALEXANDER,KALE R. SEVERSON,BLONG YANG,1,black,white,asian
MINNEAPOLIS W-5 P-6C,BRETT BUCKNER,BLONG YANG,,1,black,asian,
MINNEAPOLIS W-5 P-07,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-02,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-03,BLONG YANG,IAN ALEXANDER,,1,asian,black,
MINNEAPOLIS W-5 P-05,,,,1,,,
MINNEAPOLIS W-5 P-02,BRETT BUCKNER,,,1,black,,
MINNEAPOLIS W-5 P-03,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-02,BLONG YANG,BRETT BUCKNER,UWI,1,asian,black,
MINNEAPOLIS W-5 P-07,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-05,BRETT BUCKNER,KALE R. SEVERSON,IAN ALEXANDER,1,black,white,black
MINNEAPOLIS W-5 P-6C,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-08,,,,1,,,
MINNEAPOLIS W-5 P-07,KALE R. SEVERSON,BLONG YANG,BRETT BUCKNER,1,white,asian,black
MINNEAPOLIS W-5 P-04,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-04,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-07,BRETT BUCKNER,,,1,black,,
MINNEAPOLIS W-5 P-05,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-03,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-02,,,,1,,,
MINNEAPOLIS W-5 P-02,KALE R. SEVERSON,BLONG YANG,IAN ALEXANDER,1,white,asian,black
MINNEAPOLIS W-5 P-08,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-02,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-07,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-6C,IAN ALEXANDER,BLONG YANG,KALE R. SEVERSON,1,black,asian,white
MINNEAPOLIS W-5 P-01,KALE R. SEVERSON,IAN ALEXANDER,BLONG YANG,1,white,black,asian
MINNEAPOLIS W-5 P-6C,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-08,IAN ALEXANDER,,,1,black,,
MINNEAPOLIS W-5 P-03,BLONG YANG,IAN ALEXANDER,BRETT BUCKNER,1,asian,black,black
MINNEAPOLIS W-5 P-08,BRETT BUCKNER,IAN ALEXANDER,,1,black,black,
MINNEAPOLIS W-5 P-02,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-01,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-07,IAN ALEXANDER,,,1,black,,
MINNEAPOLIS W-5 P-02,IAN ALEXANDER,BRETT BUCKNER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-08,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-02,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-02,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-05,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-01,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-02,IAN ALEXANDER,,,1,black,,
MINNEAPOLIS W-5 P-07,BRETT BUCKNER,BLONG YANG,IAN ALEXANDER,1,black,asian,black
MINNEAPOLIS W-5 P-6C,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-01,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-07,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-05,IAN ALEXANDER,,,1,black,,
MINNEAPOLIS W-5 P-02,KALE R. SEVERSON,,,1,white,,
MINNEAPOLIS W-5 P-05,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-01,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-02,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-01,IAN ALEXANDER,BLONG YANG,KALE R. SEVERSON,1,black,asian,white
MINNEAPOLIS W-5 P-01,BRETT BUCKNER,BLONG YANG,,1,black,asian,
MINNEAPOLIS W-5 P-08,BLONG YANG,IAN ALEXANDER,,1,asian,black,
MINNEAPOLIS W-5 P-04,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-02,IAN ALEXANDER,BLONG YANG,,1,black,asian,
MINNEAPOLIS W-5 P-6C,BLONG YANG,BRETT BUCKNER,KALE R. SEVERSON,1,asian,black,white
MINNEAPOLIS W-5 P-01,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-01,IAN ALEXANDER,,,1,black,,
MINNEAPOLIS W-5 P-02,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-05,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-05,BRETT BUCKNER,BLONG YANG,IAN ALEXANDER,1,black,asian,black
MINNEAPOLIS W-5 P-05,BRETT BUCKNER,BLONG YANG,IAN ALEXANDER,1,black,asian,black
MINNEAPOLIS W-5 P-02,BLONG YANG,KALE R. SEVERSON,BRETT BUCKNER,1,asian,white,black
MINNEAPOLIS W-5 P-01,IAN ALEXANDER,,,1,black,,
MINNEAPOLIS W-5 P-08,KALE R. SEVERSON,,,1,white,,
MINNEAPOLIS W-5 P-03,IAN ALEXANDER,BLONG YANG,,1,black,asian,
MINNEAPOLIS W-5 P-07,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-02,BLONG YANG,KALE R. SEVERSON,,1,asian,white,
MINNEAPOLIS W-5 P-04,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-03,BLONG YANG,KALE R. SEVERSON,IAN ALEXANDER,1,asian,white,black
MINNEAPOLIS W-5 P-07,BLONG YANG,IAN ALEXANDER,BRETT BUCKNER,1,asian,black,black
MINNEAPOLIS W-5 P-03,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-07,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-05,IAN ALEXANDER,BLONG YANG,,1,black,asian,
MINNEAPOLIS W-5 P-02,BLONG YANG,IAN ALEXANDER,BRETT BUCKNER,1,asian,black,black
MINNEAPOLIS W-5 P-03,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-07,BLONG YANG,IAN ALEXANDER,BRETT BUCKNER,1,asian,black,black
MINNEAPOLIS W-5 P-05,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-04,BRETT BUCKNER,BLONG YANG,KALE R. SEVERSON,1,black,asian,white
MINNEAPOLIS W-5 P-04,IAN ALEXANDER,BLONG YANG,KALE R. SEVERSON,1,black,asian,white
MINNEAPOLIS W-5 P-6C,IAN ALEXANDER,BRETT BUCKNER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-07,KALE R. SEVERSON,IAN ALEXANDER,BLONG YANG,1,white,black,asian
MINNEAPOLIS W-5 P-01,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-03,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-6C,BLONG YANG,IAN ALEXANDER,KALE R. SEVERSON,1,asian,black,white
MINNEAPOLIS W-5 P-02,BRETT BUCKNER,,,1,black,,
MINNEAPOLIS W-5 P-08,BRETT BUCKNER,BLONG YANG,IAN ALEXANDER,1,black,asian,black
MINNEAPOLIS W-5 P-07,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-04,IAN ALEXANDER,BLONG YANG,KALE R. SEVERSON,1,black,asian,white
MINNEAPOLIS W-5 P-05,IAN ALEXANDER,BRETT BUCKNER,,1,black,black,
MINNEAPOLIS W-5 P-08,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-07,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-03,KALE R. SEVERSON,IAN ALEXANDER,BRETT BUCKNER,1,white,black,black
MINNEAPOLIS W-5 P-01,BRETT BUCKNER,IAN ALEXANDER,,1,black,black,
MINNEAPOLIS W-5 P-6C,BLONG YANG,IAN ALEXANDER,BRETT BUCKNER,1,asian,black,black
MINNEAPOLIS W-5 P-07,,,,1,,,
MINNEAPOLIS W-5 P-02,BLONG YANG,IAN ALEXANDER,,1,asian,black,
MINNEAPOLIS W-5 P-01,BRETT BUCKNER,IAN ALEXANDER,,1,black,black,
MINNEAPOLIS W-5 P-03,IAN ALEXANDER,,,1,black,,
MINNEAPOLIS W-5 P-01,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-08,KALE R. SEVERSON,BLONG YANG,IAN ALEXANDER,1,white,asian,black
MINNEAPOLIS W-5 P-01,IAN ALEXANDER,,,1,black,,
MINNEAPOLIS W-5 P-02,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-05,IAN ALEXANDER,KALE R. SEVERSON,,1,black,white,
MINNEAPOLIS W-5 P-08,BLONG YANG,KALE R. SEVERSON,BRETT BUCKNER,1,asian,white,black
MINNEAPOLIS W-5 P-01,IAN ALEXANDER,BRETT BUCKNER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-03,BLONG YANG,IAN ALEXANDER,BRETT BUCKNER,1,asian,black,black
MINNEAPOLIS W-5 P-08,BRETT BUCKNER,,,1,black,,
MINNEAPOLIS W-5 P-02,KALE R. SEVERSON,BLONG YANG,BRETT BUCKNER,1,white,asian,black
MINNEAPOLIS W-5 P-02,BLONG YANG,KALE R. SEVERSON,IAN ALEXANDER,1,asian,white,black
MINNEAPOLIS W-5 P-05,BRETT BUCKNER,,,1,black,,
MINNEAPOLIS W-5 P-07,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-03,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-05,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-02,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-03,IAN ALEXANDER,,,1,black,,
MINNEAPOLIS W-5 P-01,IAN ALEXANDER,BRETT BUCKNER,KALE R. SEVERSON,1,black,black,white
MINNEAPOLIS W-5 P-01,BRETT BUCKNER,KALE R. SEVERSON,IAN ALEXANDER,1,black,white,black
MINNEAPOLIS W-5 P-05,BLONG YANG,BRETT BUCKNER,,1,asian,black,
MINNEAPOLIS W-5 P-02,BLONG YANG,BRETT BUCKNER,KALE R. SEVERSON,1,asian,black,white
MINNEAPOLIS W-5 P-03,BRETT BUCKNER,BLONG YANG,KALE R. SEVERSON,1,black,asian,white
MINNEAPOLIS W-5 P-05,BRETT BUCKNER,IAN ALEXANDER,,1,black,black,
MINNEAPOLIS W-5 P-04,BRETT BUCKNER,,,1,black,,
MINNEAPOLIS W-5 P-05,BLONG YANG,BRETT BUCKNER,KALE R. SEVERSON,1,asian,black,white
MINNEAPOLIS W-5 P-04,BRETT BUCKNER,BLONG YANG,IAN ALEXANDER,1,black,asian,black
MINNEAPOLIS W-5 P-08,IAN ALEXANDER,BLONG YANG,KALE R. SEVERSON,1,black,asian,white
MINNEAPOLIS W-5 P-01,KALE R. SEVERSON,IAN ALEXANDER,BRETT BUCKNER,1,white,black,black
MINNEAPOLIS W-5 P-6C,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-07,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-01,IAN ALEXANDER,,,1,black,,
MINNEAPOLIS W-5 P-05,IAN ALEXANDER,,,1,black,,
MINNEAPOLIS W-5 P-01,BLONG YANG,IAN ALEXANDER,,1,asian,black,
MINNEAPOLIS W-5 P-05,IAN ALEXANDER,,,1,black,,
MINNEAPOLIS W-5 P-03,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-07,IAN ALEXANDER,BRETT BUCKNER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-08,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-07,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-02,BLONG YANG,IAN ALEXANDER,BRETT BUCKNER,1,asian,black,black
MINNEAPOLIS W-5 P-08,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-6C,BLONG YANG,IAN ALEXANDER,BRETT BUCKNER,1,asian,black,black
MINNEAPOLIS W-5 P-6C,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-02,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-6C,KALE R. SEVERSON,BLONG YANG,BRETT BUCKNER,1,white,asian,black
MINNEAPOLIS W-5 P-08,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-08,IAN ALEXANDER,BLONG YANG,,1,black,asian,
MINNEAPOLIS W-5 P-05,,,,1,,,
MINNEAPOLIS W-5 P-05,KALE R. SEVERSON,,,1,white,,
MINNEAPOLIS W-5 P-07,BRETT BUCKNER,IAN ALEXANDER,,1,black,black,
MINNEAPOLIS W-5 P-08,IAN ALEXANDER,BRETT BUCKNER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-6C,BRETT BUCKNER,,,1,black,,
MINNEAPOLIS W-5 P-6C,IAN ALEXANDER,BRETT BUCKNER,KALE R. SEVERSON,1,black,black,white
MINNEAPOLIS W-5 P-02,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-05,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-6C,IAN ALEXANDER,KALE R. SEVERSON,BRETT BUCKNER,1,black,white,black
MINNEAPOLIS W-5 P-03,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-08,BRETT BUCKNER,KALE R. SEVERSON,BLONG YANG,1,black,white,asian
MINNEAPOLIS W-5 P-03,BRETT BUCKNER,,,1,black,,
MINNEAPOLIS W-5 P-07,IAN ALEXANDER,BLONG YANG,UWI,1,black,asian,
MINNEAPOLIS W-5 P-02,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-02,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-02,BRETT BUCKNER,,,1,black,,
MINNEAPOLIS W-5 P-05,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-02,IAN ALEXANDER,,,1,black,,
MINNEAPOLIS W-5 P-08,KALE R. SEVERSON,BRETT BUCKNER,BLONG YANG,1,white,black,asian
MINNEAPOLIS W-5 P-05,IAN ALEXANDER,BRETT BUCKNER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-03,BRETT BUCKNER,IAN ALEXANDER,,1,black,black,
MINNEAPOLIS W-5 P-02,IAN ALEXANDER,BRETT BUCKNER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-01,BLONG YANG,KALE R. SEVERSON,BRETT BUCKNER,1,asian,white,black
MINNEAPOLIS W-5 P-05,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-07,BRETT BUCKNER,KALE R. SEVERSON,BLONG YANG,1,black,white,asian
MINNEAPOLIS W-5 P-04,BLONG YANG,IAN ALEXANDER,,1,asian,black,
MINNEAPOLIS W-5 P-08,BLONG YANG,KALE R. SEVERSON,BRETT BUCKNER,1,asian,white,black
MINNEAPOLIS W-5 P-05,BLONG YANG,BRETT BUCKNER,,1,asian,black,
MINNEAPOLIS W-5 P-04,IAN ALEXANDER,BLONG YANG,KALE R. SEVERSON,1,black,asian,white
MINNEAPOLIS W-5 P-01,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-04,BRETT BUCKNER,BLONG YANG,IAN ALEXANDER,1,black,asian,black
MINNEAPOLIS W-5 P-6C,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-02,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-03,BRETT BUCKNER,,,1,black,,
MINNEAPOLIS W-5 P-6C,BRETT BUCKNER,BLONG YANG,IAN ALEXANDER,1,black,asian,black
MINNEAPOLIS W-5 P-6C,KALE R. SEVERSON,BRETT BUCKNER,BLONG YANG,1,white,black,asian
MINNEAPOLIS W-5 P-05,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-6C,BLONG YANG,IAN ALEXANDER,BRETT BUCKNER,1,asian,black,black
MINNEAPOLIS W-5 P-05,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-02,IAN ALEXANDER,BRETT BUCKNER,,1,black,black,
MINNEAPOLIS W-5 P-6C,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-02,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-04,BRETT BUCKNER,KALE R. SEVERSON,BLONG YANG,1,black,white,asian
MINNEAPOLIS W-5 P-07,BLONG YANG,IAN ALEXANDER,BRETT BUCKNER,1,asian,black,black
MINNEAPOLIS W-5 P-6C,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-08,BRETT BUCKNER,BLONG YANG,IAN ALEXANDER,1,black,asian,black
MINNEAPOLIS W-5 P-04,IAN ALEXANDER,BRETT BUCKNER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-01,BLONG YANG,IAN ALEXANDER,BRETT BUCKNER,1,asian,black,black
MINNEAPOLIS W-5 P-04,IAN ALEXANDER,BRETT BUCKNER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-6C,IAN ALEXANDER,,,1,black,,
MINNEAPOLIS W-5 P-07,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-03,BRETT BUCKNER,,,1,black,,
MINNEAPOLIS W-5 P-03,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-05,IAN ALEXANDER,BRETT BUCKNER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-08,BLONG YANG,IAN ALEXANDER,,1,asian,black,
MINNEAPOLIS W-5 P-04,BLONG YANG,KALE R. SEVERSON,,1,asian,white,
MINNEAPOLIS W-5 P-05,BRETT BUCKNER,KALE R. SEVERSON,BLONG YANG,1,black,white,asian
MINNEAPOLIS W-5 P-04,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-08,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-01,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-03,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-6C,BRETT BUCKNER,,,1,black,,
MINNEAPOLIS W-5 P-01,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-08,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-02,IAN ALEXANDER,BLONG YANG,,1,black,asian,
MINNEAPOLIS W-5 P-07,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-03,BRETT BUCKNER,KALE R. SEVERSON,,1,black,white,
MINNEAPOLIS W-5 P-07,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-08,IAN ALEXANDER,BLONG YANG,,1,black,asian,
MINNEAPOLIS W-5 P-05,BLONG YANG,IAN ALEXANDER,BRETT BUCKNER,1,asian,black,black
MINNEAPOLIS W-5 P-04,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-05,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-08,BRETT BUCKNER,BLONG YANG,IAN ALEXANDER,1,black,asian,black
MINNEAPOLIS W-5 P-05,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-01,BLONG YANG,IAN ALEXANDER,BRETT BUCKNER,1,asian,black,black
MINNEAPOLIS W-5 P-02,BRETT BUCKNER,BLONG YANG,KALE R. SEVERSON,1,black,asian,white
MINNEAPOLIS W-5 P-08,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-6C,BLONG YANG,KALE R. SEVERSON,IAN ALEXANDER,1,asian,white,black
MINNEAPOLIS W-5 P-01,BRETT BUCKNER,,,1,black,,
MINNEAPOLIS W-5 P-02,BRETT BUCKNER,BLONG YANG,IAN ALEXANDER,1,black,asian,black
MINNEAPOLIS W-5 P-03,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-6C,BLONG YANG,IAN ALEXANDER,KALE R. SEVERSON,1,asian,black,white
MINNEAPOLIS W-5 P-02,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-08,BLONG YANG,BRETT BUCKNER,,1,asian,black,
MINNEAPOLIS W-5 P-03,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-04,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-01,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-01,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-01,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-03,BRETT BUCKNER,BLONG YANG,IAN ALEXANDER,1,black,asian,black
MINNEAPOLIS W-5 P-04,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-04,BRETT BUCKNER,BLONG YANG,KALE R. SEVERSON,1,black,asian,white
MINNEAPOLIS W-5 P-04,IAN ALEXANDER,BLONG YANG,,1,black,asian,
MINNEAPOLIS W-5 P-07,IAN ALEXANDER,,,1,black,,
MINNEAPOLIS W-5 P-6C,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-07,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-04,BRETT BUCKNER,IAN ALEXANDER,KALE R. SEVERSON,1,black,black,white
MINNEAPOLIS W-5 P-02,IAN ALEXANDER,,,1,black,,
MINNEAPOLIS W-5 P-6C,KALE R. SEVERSON,BLONG YANG,IAN ALEXANDER,1,white,asian,black
MINNEAPOLIS W-5 P-02,IAN ALEXANDER,,,1,black,,
MINNEAPOLIS W-5 P-6C,BRETT BUCKNER,IAN ALEXANDER,,1,black,black,
MINNEAPOLIS W-5 P-02,,,,1,,,
MINNEAPOLIS W-5 P-04,IAN ALEXANDER,BLONG YANG,BRETT BUCKNER,1,black,asian,black
MINNEAPOLIS W-5 P-02,BRETT BUCKNER,KALE R. SEVERSON,BLONG YANG,1,black,white,asian
MINNEAPOLIS W-5 P-01,BLONG YANG,IAN ALEXANDER,BRETT BUCKNER,1,asian,black,black
MINNEAPOLIS W-5 P-04,BLONG YANG,IAN ALEXANDER,BRETT BUCKNER,1,asian,black,black
MINNEAPOLIS W-5 P-07,KALE R. SEVERSON,BRETT BUCKNER,UWI,1,white,black,
MINNEAPOLIS W-5 P-05,IAN ALEXANDER,KALE R. SEVERSON,,1,black,white,
MINNEAPOLIS W-5 P-08,IAN ALEXANDER,,,1,black,,
MINNEAPOLIS W-5 P-03,IAN ALEXANDER,BLONG YANG,,1,black,asian,
MINNEAPOLIS W-5 P-6C,IAN ALEXANDER,BLONG YANG,,1,black,asian,
MINNEAPOLIS W-5 P-03,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-07,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-08,BLONG YANG,IAN ALEXANDER,BRETT BUCKNER,1,asian,black,black
MINNEAPOLIS W-5 P-03,KALE R. SEVERSON,IAN ALEXANDER,BLONG YANG,1,white,black,asian
MINNEAPOLIS W-5 P-04,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-01,BLONG YANG,IAN ALEXANDER,,1,asian,black,
MINNEAPOLIS W-5 P-04,BRETT BUCKNER,IAN ALEXANDER,BLONG YANG,1,black,black,asian
MINNEAPOLIS W-5 P-6C,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-08,BRETT BUCKNER,,,1,black,,
MINNEAPOLIS W-5 P-6C,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,1,asian,black,black
MINNEAPOLIS W-5 P-05,BLONG YANG,KALE R. SEVERSON,BRETT BUCKNER,1,asian,white,black
MINNEAPOLIS W-5 P-04,BLONG YANG,BRETT BUCKNER,,1,asian,black,
MINNEAPOLIS W-5 P-01,BLONG YANG,IAN ALEXANDER,BRETT BUCKNER,1,asian,black,black
MINNEAPOLIS W-5 P-02,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-6C,BRETT BUCKNER,BLONG YANG,KALE R. SEVERSON,1,black,asian,white
MINNEAPOLIS W-5 P-02,BLONG YANG,,,1,asian,,
MINNEAPOLIS W-5 P-02,BLONG YANG,IAN ALEXANDER,BRETT BUCKNER,1,asian,black,black
